3
3
4
4
4
4
4
4
5
5
5
5
5
6
6
6
6
7
7
7
7
8
8
8
9
9
9
10
10
10
11
11
12
12
13
13
14
14
15
15
16
16
16
16
16
16
16
16
16
16
16
16
16
16
16
16
16
16
16
16
16
16
16
17
17
17
17
17
17
17
17
17
17
17
17
16
16
16
16
16
16
15
15
14
13
13
12
12
12
11
11
10
10
9
9
9
8
8
7
7
7
6
6
6
6
5
5
5
5
4
4
4
4
3
3
3
3
3
3
3
2
2
2
2
2
2
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
4
4
4
3
3
4
4
4
4
4
4
4
5
5
5
3
3
4
4
4
4
4
4
4
5
5
5
5
5
5
6
6
6
3
3
4
4
4
4
4
4
4
4
5
5
5
5
5
6
6
6
6
6
7
7
7
7
3
3
4
4
4
4
4
4
4
4
5
5
5
5
5
6
6
6
6
6
6
7
7
7
7
8
8
8
9
9
9
3
3
3
4
4
4
4
4
4
4
4
5
5
5
5
5
6
6
6
6
6
7
7
7
7
7
8
8
8
8
9
9
9
10
10
10
11
11
3
3
3
4
4
4
4
4
4
4
4
5
5
5
5
5
5
6
6
6
6
6
7
7
7
7
8
8
8
8
9
9
9
10
10
10
11
11
11
12
12
13
13
13
3
3
3
3
4
4
4
4
4
4
4
5
5
5
5
5
5
6
6
6
6
6
7
7
7
7
8
8
8
8
9
9
9
10
10
10
11
11
11
12
12
12
13
13
14
14
15
15
16
3
3
3
3
4
4
4
4
4
4
4
4
5
5
5
5
5
5
6
6
6
6
6
7
7
7
7
8
8
8
8
9
9
9
10
10
10
11
11
11
12
12
12
13
13
14
14
14
15
15
3
3
3
3
3
4
4
4
4
4
4
4
5
5
5
5
5
5
6
6
6
6
6
7
7
7
7
8
8
8
8
9
9
9
10
10
10
11
11
11
12
12
12
13
13
14
14
14
15
15
3
3
3
3
3
4
4
4
4
4
4
4
5
5
5
5
5
5
6
6
6
6
6
7
7
7
7
8
8
8
8
9
9
9
10
10
10
10
11
11
12
12
12
13
13
14
14
14
15
15
3
3
3
3
3
4
4
4
4
4
4
4
5
5
5
5
5
5
6
6
6
6
6
7
7
7
7
8
8
8
8
9
9
9
9
10
10
10
11
11
12
12
12
13
13
14
14
14
15
15
16
3
3
3
3
3
3
4
4
4
4
4
4
4
5
5
5
5
5
5
6
6
6
6
6
7
7
7
7
8
8
8
8
9
9
9
9
10
10
10
11
11
11
12
12
13
13
13
14
14
15
15
16
3
3
3
3
3
3
4
4
4
4
4
4
4
5
5
5
5
5
5
6
6
6
6
6
7
7
7
7
8
8
8
8
9
9
9
9
10
10
10
11
11
11
12
12
13
13
13
14
14
15
15
16
3
3
3
3
3
3
4
4
4
4
4
4
4
5
5
5
5
5
5
6
6
6
6
6
7
7
7
7
8
8
8
8
9
9
9
9
10
10
10
11
11
11
12
12
13
13
13
14
14
15
15
16
3
3
3
3
3
3
4
4
4
4
4
4
4
5
5
5
5
5
5
6
6
6
6
6
7
7
7
7
7
8
8
8
9
9
9
9
10
10
10
11
11
11
12
12
13
13
13
14
14
15
15
16
3
3
3
3
3
3
3
4
4
4
4
4
4
4
5
5
5
5
5
5
6
6
6
6
6
7
7
7
7
7
8
8
8
9
9
9
9
10
10
10
11
11
11
12
12
13
13
13
14
14
15
15
16
3
3
3
3
3
3
3
4
4
4
4
4
4
4
5
5
5
5
5
5
6
6
6
6
6
7
7
7
7
7
8
8
8
8
9
9
9
10
10
10
11
11
11
12
12
12
13
13
14
14
15
15
16
3
3
3
3
3
3
3
4
4
4
4
4
4
4
5
5
5
5
5
5
6
6
6
6
6
7
7
7
7
7
8
8
8
8
9
9
9
10
10
10
11
11
11
12
12
12
13
13
14
14
15
15
16
3
3
3
3
3
3
3
4
4
4
4
4
4
4
5
5
5
5
5
5
6
6
6
6
7
7
8
8
8
8
9
9
9
10
10
10
11
11
11
12
12
12
13
13
14
14
15
15
16
3
3
3
3
3
3
3
3
4
4
4
4
4
4
4
4
5
5
5
5
5
6
6
6
6
7
8
8
8
8
9
9
9
10
10
10
11
11
11
12
12
12
13
13
14
14
15
15
15
16
3
3
3
3
3
3
3
3
4
4
4
4
4
4
4
4
5
5
5
5
5
6
6
6
6
8
8
8
8
9
9
9
10
10
10
11
11
11
12
12
12
13
13
14
14
14
15
15
16
3
3
3
3
3
3
3
3
4
4
4
4
4
4
4
4
5
5
5
5
5
5
6
6
6
8
8
8
9
9
9
10
10
10
11
11
11
12
12
12
13
13
14
14
14
15
15
16
3
3
3
3
3
3
3
3
3
4
4
4
4
4
4
4
5
5
5
5
5
5
6
6
6
6
8
8
8
9
9
9
10
10
10
10
11
11
12
12
12
13
13
14
14
14
15
15
16
3
3
3
3
3
3
3
3
3
3
4
4
4
4
4
4
4
5
5
5
5
5
5
6
6
6
6
6
8
8
8
9
9
9
9
10
10
10
11
11
12
12
12
13
13
14
14
14
15
15
16
3
3
3
3
3
3
3
3
3
3
4
4
4
4
4
4
4
5
5
5
5
5
5
6
6
6
6
6
7
8
8
8
9
9
